2016/01/13 13:57:13 Process Name : dasHost, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 9668.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1652, Type : Windows
2016/01/13 13:57:13 Process Name : devenv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 17.707757240964426, RAM usage : 232512.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6012, Type : Windows
2016/01/13 13:57:13 Process Name : dwm, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.9999674890569958, RAM usage : 26884.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6284, Type : Windows
2016/01/13 13:57:13 Process Name : explorer, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 56072.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6788, Type : Windows
2016/01/13 13:57:13 Process Name : iPodService, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2912.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 88, Type : Windows
2016/01/13 13:57:13 Process Name : iTunesHelper, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3944.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5524, Type : Windows
2016/01/13 13:57:13 Process Name : igfxpers, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2020.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7208, Type : Windows
2016/01/13 13:57:13 Process Name : jusched, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1276.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3008, Type : Windows
2016/01/13 13:57:13 Process Name : lsass, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 9064.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 576, Type : Windows
2016/01/13 13:57:13 Process Name : mDNSResponder, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2600.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1532, Type : Windows
2016/01/13 13:57:13 Process Name : notepad++, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 63716.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2228, Type : Windows
2016/01/13 13:57:13 Process Name : ouc, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 16516.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1736, Type : Windows
2016/01/13 13:57:13 Process Name : rundll32, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 5224.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3680, Type : Windows
2016/01/13 13:57:13 Process Name : services, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 10784.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 568, Type : Windows
2016/01/13 13:57:13 Process Name : smss, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 284.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 292, Type : Windows
2016/01/13 13:57:13 Process Name : spoolsv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 4032.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1196, Type : Windows
2016/01/13 13:57:13 Process Name : svchost, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 6208.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 680, Type : Windows
2016/01/13 13:57:13 Process Name : svchost#1, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 10564.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 732, Type : Windows
2016/01/13 13:57:13 Process Name : svchost#10, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 10200.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2264, Type : Windows
2016/01/13 13:57:13 Process Name : svchost#11, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1976.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 860, Type : Windows
2016/01/13 13:57:13 Process Name : svchost#2, MAC ID : 64:27:37:EE:A0:93, CPU usage : 23.169791352858265, RAM usage : 89596.0, Sent Data : 7.306791227860697E7, Received Data : 0.0, Process ID : 936, Type : Windows
2016/01/13 13:57:13 Process Name : svchost#3, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 58304.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 972, Type : Windows
2016/01/13 13:57:13 Process Name : svchost#4, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 23876.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1004, Type : Windows
2016/01/13 13:57:13 Process Name : svchost#5, MAC ID : 64:27:37:EE:A0:93, CPU usage : 1.1627353190248055, RAM usage : 115748.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 432, Type : Windows
2016/01/13 13:57:13 Process Name : svchost#6, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 23780.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 488, Type : Windows
2016/01/13 13:57:13 Process Name : svchost#7, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 48540.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1036, Type : Windows
