2016/01/18 12:39:13 Process Name : lsm, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 3016.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 728, Type : Windows
2016/01/18 12:39:13 Process Name : msseces, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 6148.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2732, Type : Windows
2016/01/18 12:39:13 Process Name : mysqld, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 586672.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1708, Type : Windows
2016/01/18 12:39:13 Process Name : nssm, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 2620.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4088, Type : Windows
2016/01/18 12:39:13 Process Name : services, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 6332.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 680, Type : Windows
2016/01/18 12:39:13 Process Name : sidebar, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 22840.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2748, Type : Windows
2016/01/18 12:39:13 Process Name : smss, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 572.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 356, Type : Windows
2016/01/18 12:39:13 Process Name : spoolsv, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 6504.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1540, Type : Windows
2016/01/18 12:39:13 Process Name : sppsvc, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 2860.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1008, Type : Windows
2016/01/18 12:39:13 Process Name : sqlservr, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 98416.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2100, Type : Windows
2016/01/18 12:39:13 Process Name : sqlwriter, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 2204.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3960, Type : Windows
2016/01/18 12:39:13 Process Name : sshd, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 7648.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2760, Type : Windows
2016/01/18 12:39:13 Process Name : svchost, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 4580.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 824, Type : Windows
2016/01/18 12:39:13 Process Name : svchost#1, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 4632.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 904, Type : Windows
2016/01/18 12:39:13 Process Name : svchost#10, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 1852.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3120, Type : Windows
2016/01/18 12:39:13 Process Name : svchost#11, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 2324.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4576, Type : Windows
2016/01/18 12:39:13 Process Name : svchost#12, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 1724.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3528, Type : Windows
2016/01/18 12:39:13 Process Name : svchost#2, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 25.000117110251534, RAM usage : 20520.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 556, Type : Windows
2016/01/18 12:39:13 Process Name : svchost#3, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 99616.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 520, Type : Windows
2016/01/18 12:39:13 Process Name : svchost#4, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 4980.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 888, Type : Windows
2016/01/18 12:39:13 Process Name : svchost#5, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 31208.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1036, Type : Windows
2016/01/18 12:39:13 Process Name : svchost#6, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 2364.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1124, Type : Windows
2016/01/18 12:39:13 Process Name : svchost#7, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 13488.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1312, Type : Windows
2016/01/18 12:39:13 Process Name : svchost#8, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 9076.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1620, Type : Windows
2016/01/18 12:39:13 Process Name : svchost#9, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 5748.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1816, Type : Windows
2016/01/18 12:39:13 Process Name : taskhost, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 8140.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2328, Type : Windows
2016/01/18 12:39:13 Process Name : taskmgr, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 3328.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2952, Type : Windows
2016/01/18 12:39:13 Process Name : wininit, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 1688.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 588, Type : Windows
2016/01/18 12:39:13 Process Name : winlogon, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 3116.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 688, Type : Windows
2016/01/18 12:39:13 Process Name : wmpnetwk, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 6252.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4352, Type : Windows
2016/01/18 12:39:13 Process Name : wpsupdatesvr, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 1180.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1432, Type : Windows
