0 Process Name : explorer, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 49744.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7476, Type : Windows
0 Process Name : hkcmd, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1608.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7372, Type : Windows
0 Process Name : iPodService, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2772.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 88, Type : Windows
0 Process Name : iTunesHelper, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3904.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3332, Type : Windows
0 Process Name : igfxpers, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1824.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7676, Type : Windows
0 Process Name : jusched, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1212.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4836, Type : Windows
0 Process Name : lsass, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 7920.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 576, Type : Windows
0 Process Name : mDNSResponder, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2564.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1532, Type : Windows
0 Process Name : mspdbsrv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2196.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4944, Type : Windows
0 Process Name : netbeans64, MAC ID : 64:27:37:EE:A0:93, CPU usage : 1.0360706419155523, RAM usage : 695248.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2516, Type : Windows
0 Process Name : ouc, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 16516.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1736, Type : Windows
0 Process Name : rundll32, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 5312.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3060, Type : Windows
0 Process Name : services, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 9860.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 568, Type : Windows
0 Process Name : smss, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 284.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 292, Type : Windows
0 Process Name : spoolsv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 4228.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1196, Type : Windows
0 Process Name : svchost, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 6252.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 680, Type : Windows
0 Process Name : svchost#1, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 9688.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 732, Type : Windows
0 Process Name : svchost#10, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 9592.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2264, Type : Windows
0 Process Name : svchost#11, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2680.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 860, Type : Windows
0 Process Name : svchost#2, MAC ID : 64:27:37:EE:A0:93, CPU usage : 23.140168913383214, RAM usage : 37204.0, Sent Data : 1.0573542381569475E8, Received Data : 0.0, Process ID : 936, Type : Windows
0 Process Name : svchost#3, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 51224.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 972, Type : Windows
0 Process Name : svchost#4, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 21912.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1004, Type : Windows
0 Process Name : svchost#5, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 116824.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 432, Type : Windows
0 Process Name : svchost#6, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 23368.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 488, Type : Windows
0 Process Name : svchost#7, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 45588.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1036, Type : Windows
0 Process Name : svchost#8, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3388.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1440, Type : Windows
0 Process Name : svchost#9, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3588.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1932, Type : Windows
0 Process Name : taskhostex, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 6388.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6992, Type : Windows
0 Process Name : vcpkgsrv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 149092.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5360, Type : Windows
0 Process Name : vcpkgsrv#1, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 82148.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1060, Type : Windows
0 Process Name : vcpkgsrv#2, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 139688.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3684, Type : Windows
0 Process Name : wininit, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1596.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 468, Type : Windows
0 Process Name : winlogon, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1204.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 924, Type : Windows
0 Process Name : xdm, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 24052.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4968, Type : Windows
0 Process Name : AppleMobileDeviceSer, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 16776.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1464, Type : Windows
0 Process Name : Babylon, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 81400.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4208, Type : Windows
0 Process Name : FAHWindow64, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2312.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5792, Type : Windows
0 Process Name : HWDeviceService64, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 4104.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1752, Type : Windows
0 Process Name : IDMan, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 10728.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4156, Type : Windows
0 Process Name : IEMonitor, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.012582013590829375, RAM usage : 3160.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5628, Type : Windows
0 Process Name : MSBuild, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 57480.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3120, Type : Windows
0 Process Name : NhmWriter, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.012596321023596282, RAM usage : 50384.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4456, Type : Windows
0 Process Name : PresentationFontCach, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 59936.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5984, Type : Windows
0 Process Name : Project, MAC ID : 64:27:37:EE:A0:93, CPU usage : 2.5624416858078325, RAM usage : 84840.0, Sent Data : 0.0, Received Data : 2068.137224783528, Process ID : 7096, Type : Windows
0 Process Name : RsMgrSvc, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 6232.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 776, Type : Windows
0 Process Name : SearchIndexer, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 100464.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7100, Type : Windows
0 Process Name : SkypeC2CAutoUpdateSv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 4728.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1572, Type : Windows
0 Process Name : SkypeC2CPNRSvc, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 97680.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1608, Type : Windows
0 Process Name : StikyNot, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 7696.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5692, Type : Windows
0 Process Name : TSVNCache, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 5408.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4928, Type : Windows
0 Process Name : TortoiseProc, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 11480.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6352, Type : Windows
0 Process Name : WUDFHost, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2832.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5756, Type : Windows
0 Process Name : WzPreloader, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 26592.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7440, Type : Windows
0 Process Name : chrome, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 121952.0, Sent Data : 297.3241177952231, Received Data : 670.0945595817167, Process ID : 3328, Type : Windows
0 Process Name : chrome#1, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 73168.0, Sent Data : 6.203847201882054, Received Data : 1.8479308664300567, Process ID : 5340, Type : Windows
0 Process Name : chrome#2, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 89056.0, Sent Data : 17.79369381997878, Received Data : 7.850672503011998, Process ID : 4784, Type : Windows
0 Process Name : chrome#3, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 172632.0, Sent Data : 1.187943644630535, Received Data : 22.966915873802694, Process ID : 5096, Type : Windows
0 Process Name : chrome#4, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 54032.0, Sent Data : 88.43605988832533, Received Data : 180.96400941915613, Process ID : 4976, Type : Windows
0 Process Name : chrome#5, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 57776.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7376, Type : Windows
0 Process Name : chrome#6, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 120960.0, Sent Data : 64.69660248481023, Received Data : 83.30036154524525, Process ID : 7280, Type : Windows
0 Process Name : chrome#7, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 92640.0, Sent Data : 1.0559636360107711, Received Data : 0.0, Process ID : 892, Type : Windows
0 Process Name : conhost#1, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.050794795511612575, RAM usage : 2032.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2588, Type : Windows
0 Process Name : csrss, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 7944.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 424, Type : Windows
0 Process Name : csrss#1, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.025594187211608103, RAM usage : 3808.0, Sent Data : 319.3513048640173, Received Data : 0.0, Process ID : 3416, Type : Windows
0 Process Name : dasHost, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 14168.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1652, Type : Windows
0 Process Name : devenv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 16.800593109331995, RAM usage : 327656.0, Sent Data : 3.973840632115008E7, Received Data : 0.0, Process ID : 1832, Type : Windows
0 Process Name : dwm, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.2934038593363616, RAM usage : 51384.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7228, Type : Windows
0 Process Name : explorer, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.07634732208139774, RAM usage : 99184.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7476, Type : Windows
0 Process Name : hkcmd, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3216.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7372, Type : Windows
0 Process Name : iPodService, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 5544.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 88, Type : Windows
0 Process Name : iTunesHelper, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 7808.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3332, Type : Windows
0 Process Name : igfxpers, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3648.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7676, Type : Windows
0 Process Name : jusched, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2424.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4836, Type : Windows
0 Process Name : lsass, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 15840.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 576, Type : Windows
0 Process Name : mDNSResponder, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 5128.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1532, Type : Windows
0 Process Name : mspdbsrv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 4392.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4944, Type : Windows
0 Process Name : netbeans64, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.16688272489767716, RAM usage : 1390496.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2516, Type : Windows
0 Process Name : ouc, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 33032.0, Sent Data : 3867.471037220297, Received Data : 0.0, Process ID : 1736, Type : Windows
0 Process Name : rundll32, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 10624.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3060, Type : Windows
0 Process Name : services, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 19512.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 568, Type : Windows
0 Process Name : smss, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 568.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 292, Type : Windows
0 Process Name : spoolsv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 8456.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1196, Type : Windows
0 Process Name : svchost, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 12504.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 680, Type : Windows
0 Process Name : svchost#1, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 19376.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 732, Type : Windows
0 Process Name : svchost#10, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 19184.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2264, Type : Windows
0 Process Name : svchost#11, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 5360.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 860, Type : Windows
0 Process Name : svchost#2, MAC ID : 64:27:37:EE:A0:93, CPU usage : 1.051441306141004, RAM usage : 74648.0, Sent Data : 3700903.6336838007, Received Data : 3954.3411141748147, Process ID : 936, Type : Windows
0 Process Name : svchost#3, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 102448.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 972, Type : Windows
0 Process Name : svchost#4, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 43824.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1004, Type : Windows
0 Process Name : svchost#5, MAC ID : 64:27:37:EE:A0:93, CPU usage : 2.5767386634970912, RAM usage : 232052.0, Sent Data : 0.0, Received Data : 194455.59815704188, Process ID : 432, Type : Windows
0 Process Name : svchost#6, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 46736.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 488, Type : Windows
