1/1/2016 12:5:49, Message : The handle to an object was closed., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4658, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\lsass.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:54, Message : The Windows Filtering Platform has permitted a bind to a local port., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5158, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 546, Destination Address : , Destination Port : , Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:54, Message : The Windows Filtering Platform has permitted a connection., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 546, Destination Address : ff02::1, Destination Port : 547, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:54, Message : The Windows Filtering Platform has permitted a connection., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 135, Destination Address : fe80::8ace:faff:feff, Destination Port : 0, Protocol : 58, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:54, Message : The Windows Filtering Platform has permitted a connection., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 136, Destination Address : fe80::8ace:faff:feff, Destination Port : 0, Protocol : 58, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:54, Message : The Windows Filtering Platform has permitted a connection., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 135, Destination Address : ff02::1:ffff, Destination Port : 0, Protocol : 58, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:57, Message : The Windows Filtering Platform has permitted a connection., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 68, Destination Address : 255.255.255.255, Destination Port : 67, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:57, Message : The Windows Filtering Platform has permitted a connection., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 67, Destination Address : 0.0.0.0, Destination Port : 68, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:59, Message : The Windows Filtering Platform has permitted a bind to a local port., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5158, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 57872, Destination Address : , Destination Port : , Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:59, Message : The Windows Filtering Platform has permitted a bind to a local port., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5158, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 57872, Destination Address : , Destination Port : , Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:59, Message : The Windows Filtering Platform has permitted a connection., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 32005, Destination Address : 192.248.8.103, Destination Port : 443, Protocol : 6, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:6:0, Message : A privileged service was called., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4673, S_Account Name : LOCAL SERVICE, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:6:0, Message : A privileged service was called., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4673, S_Account Name : LOCAL SERVICE, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
