2016/01/20 14:16:02 Process Name : sqlwriter, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 2284.0, Sent Data : 0.0, Received Data : 0.0, Process ID : (, Type : Windows
2016/01/20 14:16:02 Process Name : sshd, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 7648.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : svchost, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.9434006193385365, RAM usage : 4796.0, Sent Data : 0.0, Received Data : 0.0, Process ID : @, Type : Windows
2016/01/20 14:16:02 Process Name : svchost#1, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 4416.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : svchost#2, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 1.4018757096575856, RAM usage : 15292.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : svchost#3, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 7040.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 8, Type : Windows
2016/01/20 14:16:02 Process Name : svchost#4, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3460.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : svchost#5, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.6944476594592958, RAM usage : 17248.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : svchost#6, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 2296.0, Sent Data : 0.0, Received Data : 0.0, Process ID : d, Type : Windows
2016/01/20 14:16:02 Process Name : svchost#7, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 12476.0, Sent Data : 0.0, Received Data : 0.0, Process ID : (, Type : Windows
2016/01/20 14:16:02 Process Name : svchost#8, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3316.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : svchost#9, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3696.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
