2016/01/20 14:24:46 Process Name : lsass, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 4540.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : lsm, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 3164.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : msiexec, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 6356.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : msseces, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 6120.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : mysqld, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 586668.0, Sent Data : 0.0, Received Data : 0.0, Process ID : H, Type : Windows
2016/01/20 14:24:46 Process Name : notepad, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 45128.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : nssm, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 2340.0, Sent Data : 0.0, Received Data : 0.0, Process ID : , Type : Windows
2016/01/20 14:24:46 Process Name : oracle, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 771968.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : services, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 6564.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : smss, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 572.0, Sent Data : 0.0, Received Data : 0.0, Process ID : d, Type : Windows
2016/01/20 14:24:46 Process Name : spoolsv, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 6688.0, Sent Data : 0.0, Received Data : 0.0, Process ID : , Type : Windows
2016/01/20 14:24:46 Process Name : sqlservr, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 98500.0, Sent Data : 0.0, Received Data : 0.0, Process ID : X, Type : Windows
2016/01/20 14:24:46 Process Name : sshd, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 7628.0, Sent Data : 0.0, Received Data : 0.0, Process ID : , Type : Windows
2016/01/20 14:24:46 Process Name : svchost, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 4560.0, Sent Data : 0.0, Received Data : 0.0, Process ID : <, Type : Windows
2016/01/20 14:24:46 Process Name : svchost#1, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 4132.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : svchost#10, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 1836.0, Sent Data : 0.0, Received Data : 0.0, Process ID : $, Type : Windows
2016/01/20 14:24:46 Process Name : svchost#11, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 2384.0, Sent Data : 0.0, Received Data : 0.0, Process ID : X, Type : Windows
2016/01/20 14:24:46 Process Name : svchost#2, MAC ID : 00:E0:4C:68:04:31, CPU usage : 25.000112772815246, RAM usage : 18448.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : svchost#3, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 105684.0, Sent Data : 0.0, Received Data : 0.0, Process ID : ,, Type : Windows
2016/01/20 14:24:46 Process Name : svchost#4, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 5144.0, Sent Data : 0.0, Received Data : 0.0, Process ID : d, Type : Windows
2016/01/20 14:24:46 Process Name : svchost#5, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 21836.0, Sent Data : 0.0, Received Data : 0.0, Process ID :  , Type : Windows
2016/01/20 14:24:46 Process Name : svchost#6, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 2652.0, Sent Data : 0.0, Received Data : 0.0, Process ID : X, Type : Windows
2016/01/20 14:24:46 Process Name : svchost#7, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 15480.0, Sent Data : 0.0, Received Data : 0.0, Process ID :  , Type : Windows
2016/01/20 14:24:46 Process Name : svchost#8, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 8728.0, Sent Data : 0.0, Received Data : 0.0, Process ID : H, Type : Windows
2016/01/20 14:24:46 Process Name : svchost#9, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 5512.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : taskeng, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 2432.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : taskhost, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 8296.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : taskmgr, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 3408.0, Sent Data : 0.0, Received Data : 0.0, Process ID : <, Type : Windows
