2016/01/20 13:48:14 Process Name : spoolsv, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 13088.0, Sent Data : 0.0, Received Data : 0.0, Process ID : ,, Type : Windows
2016/01/20 13:48:14 Process Name : sqlservr, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 1.2747377428158817, RAM usage : 188448.0, Sent Data : 0.0, Received Data : 180.7788104835233, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : sqlwriter, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 4376.0, Sent Data : 0.0, Received Data : 0.0, Process ID : , Type : Windows
2016/01/20 13:48:14 Process Name : sshd, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 15280.0, Sent Data : 0.0, Received Data : 0.0, Process ID : l, Type : Windows
2016/01/20 13:48:14 Process Name : svchost, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 9624.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4, Type : Windows
2016/01/20 13:48:14 Process Name : svchost#1, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 9064.0, Sent Data : 0.0, Received Data : 0.0, Process ID : |, Type : Windows
2016/01/20 13:48:14 Process Name : svchost#10, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 3752.0, Sent Data : 0.0, Received Data : 0.0, Process ID :  , Type : Windows
2016/01/20 13:48:14 Process Name : svchost#11, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.012501674492397603, RAM usage : 5252.0, Sent Data : 0.0, Received Data : 0.0, Process ID : p, Type : Windows
2016/01/20 13:48:14 Process Name : svchost#2, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.012499270560065778, RAM usage : 51388.0, Sent Data : 0.0, Received Data : 5402.8230204553665, Process ID : , Type : Windows
2016/01/20 13:48:14 Process Name : svchost#3, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.06341413071825347, RAM usage : 245088.0, Sent Data : 0.0, Received Data : 566.9084396921767, Process ID : , Type : Windows
2016/01/20 13:48:14 Process Name : svchost#4, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 14920.0, Sent Data : 0.0, Received Data : 0.0, Process ID : D, Type : Windows
2016/01/20 13:48:14 Process Name : svchost#5, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 62704.0, Sent Data : 0.0, Received Data : 0.0, Process ID : , Type : Windows
2016/01/20 13:48:14 Process Name : svchost#6, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 5744.0, Sent Data : 0.0, Received Data : 0.0, Process ID : t, Type : Windows
2016/01/20 13:48:14 Process Name : svchost#7, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 30984.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4, Type : Windows
2016/01/20 13:48:14 Process Name : svchost#8, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 12160.0, Sent Data : 0.0, Received Data : 0.0, Process ID : H, Type : Windows
2016/01/20 13:48:14 Process Name : svchost#9, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 10112.0, Sent Data : 0.0, Received Data : 0.0, Process ID : H, Type : Windows
2016/01/20 13:48:14 Process Name : wininit, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 4016.0, Sent Data : 0.0, Received Data : 0.0, Process ID : H, Type : Windows
2016/01/20 13:48:14 Process Name : winlogon, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 6224.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 13:50:32 Process Name : GWXDetector, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 9184.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3968, Type : Windows
2016/01/20 13:50:32 Process Name : GWXDetector#1, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 6656.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2844, Type : Windows
2016/01/20 13:50:32 Process Name : IpOverUsbSvc, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 16912.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1800, Type : Windows
